Fórmula,Disponibilidad,Orden,Nombre,Descripción,Imagen,Precio,Etapa,Categoría,Tamaño,Ancho,Largo,Alto,Diametro,Motores,Operación y Requerimientos,Imagen_1,Imagen_2,Imagen_3,Imagen_4,Imagen_5,Sucursal,Participantes,Rango_edad,Operador,Motores_sopladores,mostrar en sitio,Inventario,BambinosID,ID de Sucursal,ID de Categoría,Número de Juego,Fecha Lanzamiento,Duracion,Popular
Castillo EscaladorGuadalajara,in stock,91,Castillo Escalador,Uno de los clásicos para todas las fiestas. Un Brincolin ideal para espacios pequeños y que tus hijos se diviertan sin parar.,https://i.imgur.com/iApSWrE.png,"$1,380","Infantes, Niños",Interactivo,Mediano,6,3,3.3,0,impulsado por 1 motor,-,https://i.imgur.com/d1TrWjp.png,https://i.imgur.com/ZAlVNME.png,https://i.imgur.com/n2P87M2.png,https://i.imgur.com/d1TrWjp.png,https://i.imgur.com/AkKB0yD.png,Guadalajara,Apto para 10 participantes,mayores de 3 años.,No,1,Si,1,1014441069,101,444,1069,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Happy BobGuadalajara,in stock,92,Happy Bob,-,https://i.imgur.com/YpTZa2J.png,"$1,380",Niños,Interactivo,Chico,5,5,3.3,0,impulsado por 1 motor soplador,.,https://i.imgur.com/B3LB6hE.png,https://i.imgur.com/wFXqEYn.png,https://i.imgur.com/VlXr5rc.png,https://i.imgur.com/B3LB6hE.png,https://i.imgur.com/FoLusks.png,Guadalajara,Apto para 8 participantes,mayores de 6 años.,No,1,Si,1,1014441171,101,444,1171,13/2/2023,Precio de renta por evento de 5 a 6 horas.,FALSE
Candy PlayGuadalajara,in stock,93,Candy Play,-,https://i.imgur.com/r9Fb13D.png,"$1,380",Niños,Interactivo,Chico,4.5,4.2,3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/sngNrc8.png,https://i.imgur.com/oi5mIFS.png,https://i.imgur.com/QlYMCZ2.png,https://i.imgur.com/sngNrc8.png,https://i.imgur.com/ZRfgfs9.png,Guadalajara,Apto para 8 participantes,mayores de 4 años.,No,1,Si,1,1014441172,101,444,1172,18/2/2023,Precio de renta por evento de 5 a 6 horas.,FALSE
Kids PlayGuadalajara,in stock,94,Kids Play,-,https://i.imgur.com/V4w1OOs.png,"$1,380","Niños, Adolescentes",Interactivo,Chico,4,3.4,3.2,0,impulsado por 1 motor,-,https://i.imgur.com/WkFTK1m.png,https://i.imgur.com/M0uyTLT.png,https://i.imgur.com/fQW21g6.png,https://i.imgur.com/Qs32F24.png,https://i.imgur.com/yTdUmC8.png,Guadalajara,Apto para 08 participantes,mayores de 6 años.,No,1,Si,5,1014441085,101,444,1085,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Peaches Play HouseGuadalajara,in stock,95,Peaches Play House,-,https://i.imgur.com/rha40lu.png,"$2,890",Niños,Princesas,Grande,11,6.7,5,0,impulsado por 2 motores sopladores,-,https://i.imgur.com/I9cSHZ6.png,https://i.imgur.com/4Nywebi.png,https://i.imgur.com/7Nko4xp.png,https://i.imgur.com/I9cSHZ6.png,https://i.imgur.com/4Nywebi.png,Guadalajara,Apto para 20 participantes,mayores de 3 años.,No,1,Si,1,1017771192,101,777,1192,29/1/2025,Precio de renta por evento de 1 hora extra,TRUE
Palace Play HouseGuadalajara,in stock,96,Palace Play House,Las princesas necesitan un lugar donde divertirse y jugar. Un palacio amplio para que todas las princesas se diviertan.,https://i.imgur.com/msJl9ve.png,"$2,890",Niños,Princesas,Grande,8.7,5.6,5,0,Impulsado por 2 motores,-,https://i.imgur.com/waPjcik.png,https://i.imgur.com/Pf1HKuw.png,https://i.imgur.com/waPjcik.png,https://i.imgur.com/6K6TX97.png,https://i.imgur.com/Pf1HKuw.png,Guadalajara,Apto para 24 participantes,mayores de 3 años.,No,2,Si,1,1017771195,101,777,1195,6/6/2025,Precio por 4 horas de servicio con operación entre 9am y 9pm.,TRUE
Castillo PrincesasGuadalajara,in stock,97,Castillo Princesas,-,https://i.imgur.com/fhB9joE.png,"$1,680","Niños, Adolescentes",Princesas,Grande,6.3,5.8,4.8,0,impulsado por 1 motor,-,https://i.imgur.com/q2d4YlS.png,https://i.imgur.com/V2GfHEq.png,https://i.imgur.com/q2d4YlS.png,https://i.imgur.com/UvXUtAE.png,https://i.imgur.com/obLQmCv.png,Guadalajara,Apto para 20 participantes,mayores de 4 años.,No,1,Si,2,1017771134,101,777,1134,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Jeep PrincesasGuadalajara,in stock,98,Jeep Princesas,-,https://i.imgur.com/aQ8ECpf.png,"$2,380","Niños, Adolescentes",Princesas,Grande,6.8,5.5,4,0,impulsado por 2 motores,-,https://i.imgur.com/IHw1Ihw.png,https://i.imgur.com/t7nAdR0.png,https://i.imgur.com/t7nAdR0.png,https://i.imgur.com/7tvEwud.png,https://i.imgur.com/3JD3WWO.png,Guadalajara,Apto para 12 participantes,mayores de 4 años.,No,2,Si,2,1017771136,101,777,1136,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Carrusel de PrincesasGuadalajara,in stock,99,Carrusel de Princesas,-,https://i.imgur.com/59jm2pY.png,"$1,710","Niños, Adolescentes",Princesas,Grande,10,4,4,0,impulsado por 1 motor,-,https://i.imgur.com/PFKB3hn.png,https://i.imgur.com/24Dbxz4.png,https://i.imgur.com/BQb4ygq.png,https://i.imgur.com/oU0VT13.png,https://i.imgur.com/LlMkjjT.png,Guadalajara,Apto para 20 participantes,mayores de 3 años.,No,1,Si,2,1017771133,101,777,1133,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Candy Play RosaGuadalajara,in stock,100,Candy Play Rosa,-,https://i.imgur.com/rV3O7ip.png,"$1,380",Niños,Princesas,Chico,4.5,4.2,3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/LBE7tBY.png,https://i.imgur.com/wzyjuTo.png,https://i.imgur.com/LKDcQBH.png,https://i.imgur.com/jOoODGk.png,https://i.imgur.com/taxzssy.png,Guadalajara,Apto para 8 participantes,mayores de 4 años.,No,1,Si,1,1017771173,101,777,1173,18/2/2023,Precio de renta por evento de 5 a 6 horas.,FALSE
Puppies Play HouseGuadalajara,in stock,101,Puppies Play House,-,https://i.imgur.com/h2aJ4ex.png,"$2,890","Infantes, Niños, Adolescentes",Personajes,Grande,7.5,5.6,4.3,0,impulsado por 1 motor,-,https://i.imgur.com/tWSKKHO.png,https://i.imgur.com/wbT5tct.png,https://i.imgur.com/diR8U4Z.png,https://i.imgur.com/8MrV6Xp.png,https://i.imgur.com/YexrBku.png,Guadalajara,Apto para 20 participantes,mayores de 3 años.,No,1,Si,1,1016661187,101,666,1187,6/8/2024,Precio de renta por evento de 5 a 6 horas.,FALSE
Unicornio Play HouseGuadalajara,in stock,102,Unicornio Play House,Nuestro juego más solicitado. Con un diseño pensado para que tus pequeños jueguen en una misma área. Ahora con Lona con Brillantina.,https://i.imgur.com/5hlCO8n.png,"$2,480","Infantes, Niños, Adolescentes",Personajes,Grande,7.5,5.6,4.3,0,impulsado por 1 motor,-,https://i.imgur.com/yY1J7lb.png.png,https://i.imgur.com/wc8sNjc.png,https://i.imgur.com/0iJ2P3C.png,https://i.imgur.com/wc8sNjc.png,https://i.imgur.com/yM8N8ED.png,Guadalajara,Apto para 20 participantes,mayores de 3 años.,No,1,Si,3,1016661130,101,666,1130,29/10/2020,Precio de renta por evento de 5 a 6 horas.,TRUE
Jurassic Play HouseGuadalajara,in stock,103,Jurassic Play House,"Para una fiesta jurasica, tus peques se divertirán en sus áreas de salto, siempre protegidos para evitar caídas delizándose por su tobogán",https://i.imgur.com/nnzLXqF.png,"$2,480","Infantes, Niños",Personajes,Grande,7.5,5.6,4,0,impulsado por 1 motor,-,https://i.imgur.com/dRhJohW.png,https://i.imgur.com/ctJBePE.png,https://i.imgur.com/IGZyAGf.png,https://i.imgur.com/zaYjLMA.png,https://i.imgur.com/Zei86Dj.png,Guadalajara,Apto para 20 participantes,mayores de 3 años.,No,1,Si,2,1016661157,101,666,1157,4/6/2021,Precio de renta por evento de 5 a 6 horas.,FALSE
Kermesse Play HouseGuadalajara,in stock,104,Kermesse Play House,"La feria llegó a tu fiesta. Con muchísima diversión, horas de juego y un brincolín que se adapta a todas las edades, pasarán una fiesta inolvidablemente divertida.",https://i.imgur.com/Y5Xwrgk.png,"$2,480","Infantes, Niños, Adolescentes",Personajes,Mediano,7.5,5.6,4.8,0,impulsado por 1 motor,-,https://i.imgur.com/2SYWoOF.png,https://i.imgur.com/XjvPbqd.png,https://i.imgur.com/Zy4R0bf.png,https://i.imgur.com/lJubCSK.png,https://i.imgur.com/XjvPbqd.png,Guadalajara,Apto para 20 participantes,mayores de 3 años.,No,1,Si,1,1016661161,101,666,1161,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Unicornio CarameloGuadalajara,in stock,105,Unicornio Caramelo,-,https://i.imgur.com/2Z8TEOt.png,"$1,380","Infantes, Niños",Personajes,Mediano,8,4.5,3,0,impulsado por 1 motor,-,https://i.imgur.com/2bciqfE.png,https://i.imgur.com/jo1wxbP.png,https://i.imgur.com/5xZH6Au.png,https://i.imgur.com/zGS7sUY.png,https://i.imgur.com/Z1liyGB.png,Guadalajara,Apto para 12 participantes,mayores de 3 años.,No,1,Si,3,1016661129,101,666,1129,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
