Fórmula,Disponibilidad,Orden,Nombre,Descripción,Imagen,Precio,Etapa,Categoría,Tamaño,Ancho,Largo,Alto,Diametro,Motores,Operación y Requerimientos,Imagen_1,Imagen_2,Imagen_3,Imagen_4,Imagen_5,Sucursal,Participantes,Rango_edad,Operador,Motores_sopladores,mostrar en sitio,Inventario,BambinosID,ID de Sucursal,ID de Categoría,Número de Juego,Fecha Lanzamiento,Duracion,Popular
Mickey Play HouseGuadalajara,out of stock,,Mickey Play House,-,https://i.imgur.com/xTRErbp.png,"$2,180","Infantes, Niños, Adolescentes",Personajes,Mediano,7.5,5.6,4.8,0,impulsado por 1 motor,-,https://i.ibb.co/Q6MgwyW/B-Im-genes-Slides44.png,https://i.ibb.co/pvKMcM1/B-Im-genes-Slides45.png,https://i.ibb.co/BcHgVLT/B-Im-genes-Slides43.png,https://i.ibb.co/JpZfSJh/B-Im-genes-Slides42.png,https://i.ibb.co/Nmthsqy/B-Im-genes-Slides41.png,Guadalajara,Apto para 20 participantes,mayores de 3 años.,No,1,No,1,1016661119,101,666,1119,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
MinionsGuadalajara,out of stock,,Minions,-,https://i.ibb.co/wdWVDg8/0042-Miniatura-Minions-01.png,"$1,323","Infantes, Niños",Personajes,Chico,4,3,2.2,0,impulsado por 1 motor,-,https://i.ibb.co/nw84nt1/Minions-3-4-IZQ.png,https://i.ibb.co/1JMJMty/Minions-Frontal.png,https://i.ibb.co/8YYprPj/Minions-Lateral.png,https://i.ibb.co/jV5QPXC/Minions-Top.png,https://i.ibb.co/nw84nt1/Minions-3-4-IZQ.png,Guadalajara,Apto para 10 participantes,mayores de 3 años.,No,0,No,0,1016661120,101,666,1120,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Minnie MouseGuadalajara,out of stock,,Minnie Mouse,-,https://i.ibb.co/4Fv7z2y/0036-Miniatura-Minnie-Mouse-03.png,"$1,323","Infantes, Niños",Personajes,Chico,4,3,2.2,0,impulsado por 1 motor,-,https://i.ibb.co/mNzJHKN/Minnie-Mouse-3-4-Der.png,https://i.ibb.co/bW66C5m/Minnie-Mouse-3-4-IZQ.png,https://i.ibb.co/P4mFThR/Minnie-Mouse-Frontal.png,https://i.ibb.co/VYsvYgs/Minnie-Mouse-Lateral.png,https://i.ibb.co/h1M4SPZ/Minnie-Mouse-Top.png,Guadalajara,Apto para 12 participantes,mayores de 3 años.,No,0,No,0,1016661121,101,666,1121,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Monkey JoeGuadalajara,out of stock,,Monkey Joe,-,https://i.imgur.com/9UsaQZT.png,"$1,357","Infantes, Niños",Interactivo,Grande,9,4,2.6,0,impulsado por 1 motor,-,https://i.imgur.com/eeuKazs.png,https://i.imgur.com/6wdtJHb.png,https://i.imgur.com/6wdtJHb.png,https://i.imgur.com/zu9iaxu.png,https://i.imgur.com/6wdtJHb.png,Guadalajara,Apto para 22 participantes,mayores de 3 años.,No,0,No,0,1014441089,101,444,1089,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Monster Slide NaranjaGuadalajara,out of stock,,Monster Slide Naranja,-,https://i.ibb.co/NZHDJ7c/Monster-Slide-Naranja-miniatura.png,"$3,853","Niños, Adolescentes, Adultos",Acuático,Extra grande,11.6,6.1,5.9,0,impulsado por 3 motores,con opción a instalar a pie de alberca.,https://i.ibb.co/KWq3wGb/Monster-Slide-Naranja-3-4-Der.png,https://i.ibb.co/chMYfr2/Monster-Slide-Naranja-3-4-IZQ.png,https://i.ibb.co/CJHJrYc/Monster-Slide-Naranja-Lateral.png,https://i.ibb.co/bN3c25W/Monster-Slide-Naranja-Top.png,https://i.ibb.co/KWq3wGb/Monster-Slide-Naranja-3-4-Der.png,Guadalajara,Apto para 25 participantes,mayores de 7 años.,No,0,No,0,1011111013,101,111,1013,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Monster Slide VerdeGuadalajara,out of stock,,Monster Slide Verde,-,https://i.ibb.co/jTbwrKt/Monster-Slide-Verde-miniatura.png,"$3,853","Niños, Adolescentes, Adultos",Acuático,Extra grande,11.6,6.1,5.9,0,impulsado por 3 motores,con opción a instalar a pie de alberca.,https://i.ibb.co/2PNwsfp/Monster-Slide-Verde-3-4-Der.png,https://i.ibb.co/3fcVf6F/Monster-Slide-Verde-3-4-IZQ.png,https://i.ibb.co/WtpNh1s/Monster-Slide-Verde-Frontal.png,https://i.ibb.co/d5sBf1V/Monster-Slide-Verde-Lateral.png,https://i.ibb.co/GW3zyLG/Monster-Slide-Verde-Top.png,Guadalajara,Apto para 25 participantes,mayores de 7 años.,No,0,No,0,1011111014,101,111,1014,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
NemoGuadalajara,out of stock,,Nemo,-,https://i.ibb.co/L9nmYBn/Nemo-miniatura.png,"$2,128","Niños, Adolescentes",Acuático,Mediano,11,3.5,4,0,impulsado por 1 motor,con opción a instalar a pie de alberca.,https://i.ibb.co/31FM0B3/Nemo-3-4-IZQ.png,https://i.ibb.co/fSGcDDh/Nemo-lateral.png,https://i.ibb.co/31FM0B3/Nemo-3-4-IZQ.png,https://i.ibb.co/fSGcDDh/Nemo-lateral.png,https://i.ibb.co/31FM0B3/Nemo-3-4-IZQ.png,Guadalajara,Apto para 20 participantes,mayores de 3 años.,No,0,No,0,1011111015,101,111,1015,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Palmera JoeGuadalajara,out of stock,,Palmera Joe,-,https://i.ibb.co/gdPxgpg/Palmera-Joe-miniatura.png,"$4,485","Niños, Adolescentes, Adultos",Interactivo,Extra grande,9,9,8,0,impulsado por 3 motores,requiere instalación a pie de camioneta,https://i.ibb.co/LxvTXjP/Palmera-Joe-Lateral.png,https://i.ibb.co/37cHVgC/Palmera-Joe-3-4-IZQ.png,https://i.ibb.co/KbtzN99/Palmera-Joe-Frontal.png,https://i.ibb.co/QNLbW5J/Palmera-Joe-3-4-Der.png,https://i.ibb.co/Gpg1K6j/Palmera-Joe-Top.png,Guadalajara,Apto para 40 participantes,-,No,0,No,0,1014441091,101,444,1091,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
PicassoGuadalajara,out of stock,,Picasso,-,https://i.ibb.co/q1gvF43/Picasso-miniatura.png,"$1,323","Infantes, Niños",Clásicos,Chico,3.8,2.8,2,0,impulsado por 1 motor,-,https://i.ibb.co/nf0p39V/Picasso-3-4-Der.png,https://i.ibb.co/8s49KFB/Picasso-3-4-IZQ.png,https://i.ibb.co/VMWZjPH/Picasso-Frontal.png,https://i.ibb.co/2KX1tMS/Picasso-Lateral.png,https://i.ibb.co/nf0p39V/Picasso-3-4-Der.png,Guadalajara,Apto para 12 participantes,mayores de 3 años.,No,0,No,0,1012221036,101,222,1036,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Planta de LuzGuadalajara,out of stock,,Planta de Luz,-,https://i.imgur.com/goDtgil.png,"$3,335",Adultos,Variedad,N/A,0,0,0,0,Capacidad de hasta 4 motores,-,https://i.imgur.com/ptnvLfr.png,https://i.imgur.com/ptnvLfr.png,https://i.imgur.com/ptnvLfr.png,https://i.imgur.com/ptnvLfr.png,https://i.imgur.com/ptnvLfr.png,Guadalajara,-,-,No,0,No,0,1018881137,101,888,1137,29/10/2020,Precio de renta por evento de hasta 6 horas. Con gasolina incluída.,FALSE
Press WallGuadalajara,out of stock,,Press Wall,-,https://i.imgur.com/vhSC5xz.png,$0,"Adolescentes, Adultos",Variedad,Mediano,0,0,0,0,impulsado por 1 motor,-,https://i.imgur.com/QLquvlR.png,https://i.imgur.com/oQRbyC4.png,https://i.imgur.com/WnrSuWw.png,https://i.imgur.com/WnrSuWw.png,https://i.imgur.com/oQRbyC4.png,Guadalajara,-,-,No,0,No,0,1018881138,101,888,1138,29/10/2020,Acordado a través de intercambio publicitario.,FALSE
Roller BallGuadalajara,out of stock,,Roller Ball,-,https://i.ibb.co/4pmLjy4/Roller-Ball-miniatura.png,"$2,300","Niños, Adolescentes, Adultos",Destreza,Mediano,4,3,3,0,inflado por una sopladora.,Controlado por un operador.,https://i.ibb.co/HGPj9Jq/Roller-Ball-3-4-Der.png,https://i.ibb.co/2ZB7kyf/Roller-Ball-3-4-IZQ.png,https://i.ibb.co/vkYqYJw/Roller-Ball-Frontal.png,https://i.ibb.co/7SvQL4w/Roller-Ball-Lateral.png,https://i.ibb.co/HGPj9Jq/Roller-Ball-3-4-Der.png,Guadalajara,Apto para 1 participante por Roller Ball,mayores de 6 años.,No,0,No,0,1013331053,101,333,1053,29/10/2020,Precio de renta por 3 horas de servicio. Puede usarse en pasto o agua. Operación entre 9am y 9pm.,FALSE
SallyGuadalajara,out of stock,,Sally,-,https://i.ibb.co/sv99BL3/Sally-miniatura.png,"$2,415","Niños, Adolescentes, Adultos",Acuático,Grande,13,4,5.5,0,impulsado por 2 motores,con opción a instalar a pie de alberca.,https://i.ibb.co/1K9rYPb/Sally-3-4-IZQ.png,https://i.ibb.co/MPGLG9B/Sally-Lateral.png,https://i.ibb.co/1K9rYPb/Sally-3-4-IZQ.png,https://i.ibb.co/MPGLG9B/Sally-Lateral.png,https://i.ibb.co/1K9rYPb/Sally-3-4-IZQ.png,Guadalajara,Apto para 30 participantes,mayores de 4 años.,No,0,No,0,1011111020,101,111,1020,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
SnoopyGuadalajara,out of stock,,Snoopy,-,https://i.ibb.co/2KsDQz4/Snoopy-miniatura.png,"$1,702","Infantes, Niños",Personajes,Grande,7.5,7,5.2,0,impulsado por 3 motores,-,https://i.ibb.co/hMwz5ZC/Snoopy-Frontal.png,https://i.ibb.co/MRDZZGv/Snoopy-Lateral.png,https://i.ibb.co/CM5mNxW/Snoopy-Top.png,https://i.ibb.co/tm18sh1/Snoopy-3-4-Der.png,https://i.ibb.co/tm18sh1/Snoopy-3-4-Der.png,Guadalajara,Apto para 15 participantes,mayores de 3 años.,No,0,No,0,1016661125,101,666,1125,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Spider WallGuadalajara,out of stock,,Spider Wall,-,https://i.ibb.co/3kpBfm6/0119-Miniatura-Spiderwall-02.png,"$1,553","Niños, Adolescentes, Adultos",Destreza,Mediano,7,3.9,4,0,impulsado con 1 motor.,-,https://i.ibb.co/tHyqqJK/Spider-Wall-3-4-Der.png,https://i.ibb.co/xDh1wgG/Spider-Wall-3-4-IZQ.png,https://i.ibb.co/PZxrB2w/Spider-Wall-Frontal.png,https://i.ibb.co/dGbWqQK/Spider-Wall-Top.png,https://i.ibb.co/tHyqqJK/Spider-Wall-3-4-Der.png,Guadalajara,Apto para 4 participantes,mayores de 12 años.,No,0,No,0,1013331054,101,333,1054,29/10/2020,Precio de renta por evento de 5 a 6 horas. Incluye 2 trajes chicos y 2 trajes medianos.,FALSE
Spiderman Digital con RampaGuadalajara,out of stock,,Spiderman Digital con Rampa,-,https://i.ibb.co/1KddfhX/0026-Miniatura-Spiderman-Digital-02.png,"$1,280","Infantes, Niños",Personajes,Mediano,5,4,3,0,impulsado por 1 motor,-,https://i.ibb.co/h12x1TF/Spiderman-Digital-Rampa-3-4-Der.png,https://i.ibb.co/V2jwkKS/Spiderman-Digital-Rampa-Frontal.png,https://i.ibb.co/h12x1TF/Spiderman-Digital-Rampa-3-4-Der.png,https://i.ibb.co/V2jwkKS/Spiderman-Digital-Rampa-Frontal.png,https://i.ibb.co/h12x1TF/Spiderman-Digital-Rampa-3-4-Der.png,Guadalajara,Apto para 10 participantes,mayores de 3 años.,No,0,No,0,1016661127,101,666,1127,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Spinner AmarilloGuadalajara,out of stock,,Spinner Amarillo,-,https://i.imgur.com/7ldxNbj.png,"$3,500","Niños, Adolescentes, Adultos",Mecánicos,Grande,0,0,1.2,8,impulsado por 2 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/xx3zoAR.png,https://i.imgur.com/xx3zoAR.png,https://i.imgur.com/xx3zoAR.png,https://i.imgur.com/BrlZsen.png,https://i.imgur.com/xx3zoAR.png,Guadalajara,Con capacidad de 6 participantes,mayores de 5 años.,Si,0,No,0,1015551150,101,555,1150,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Spinner NaranjaGuadalajara,out of stock,,Spinner Naranja,-,https://i.imgur.com/fri8OiX.png,"$3,500","Niños, Adolescentes, Adultos",Mecánicos,Grande,0,0,1.2,8,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/L6xesTM.png,https://i.imgur.com/L6xesTM.png,https://i.imgur.com/L6xesTM.png,https://i.imgur.com/ydwQqqH.png,https://i.imgur.com/L6xesTM.png,Guadalajara,Con capacidad de 6 participantes,mayores de 5 años.,Si,0,No,0,1015551101,101,555,1101,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Splash MixGuadalajara,out of stock,,Splash Mix,-,https://i.imgur.com/lv3IdCp.png,"$1,820","Niños, Adolescentes",Acuático,Grande,6,4,4.5,0,impulsado por 1 motor soplador,con opción a instalar a pie de alberca.,https://i.imgur.com/D4IJ8b4.png,https://i.imgur.com/XY8zaUs.png,https://i.imgur.com/6Z27C6y.png,https://i.imgur.com/D4IJ8b4.png,https://i.imgur.com/XY8zaUs.png,Guadalajara,Apto para 15 participantes,mayores de 4 años.,No,2,No,1,1011111022,101,111,1022,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
SumosGuadalajara,out of stock,,Sumos,-,https://i.ibb.co/6JgcXkN/Sumos-miniatura.png,"$1,553","Niños, Adolescentes, Adultos",Destreza,Mediano,5,5,0.6,0,impulsado con 1 motor.,-,https://i.ibb.co/DK1V57n/Sumos-Frontal.png,https://i.ibb.co/kMpbPg6/Sumos-Lateral.png,https://i.ibb.co/DK1V57n/Sumos-Frontal.png,https://i.ibb.co/DK1V57n/Sumos-Frontal.png,https://i.ibb.co/kMpbPg6/Sumos-Lateral.png,Guadalajara,Apto para 2 participantes,mayores de 10 años.,No,0,No,0,1013331055,101,333,1055,29/10/2020,Precio de renta. Incluye 2 trajes.,FALSE
Super EscaladoraGuadalajara,out of stock,,Super Escaladora,-,https://i.imgur.com/UWbL8qy.png,"$1,323","Infantes, Niños",Interactivo,Mediano,7,3,3.8,0,impulsado por 1 motor,-,https://i.imgur.com/ifbVXwP.png,https://i.imgur.com/ifbVXwP.png,https://i.imgur.com/R8vjw6Y.png,https://i.imgur.com/hcQJIq6.png,https://i.imgur.com/H3xKOkp.png,Guadalajara,Apto para 12 participantes,mayores de 5 años.,No,0,No,0,1014441092,101,444,1092,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Super SallyGuadalajara,out of stock,,Super Sally,-,https://i.ibb.co/X23Zf28/Super-Sally-miniatura.png,"$3,427","Niños, Adolescentes, Adultos",Acuático,Extra grande,15,4,6,0,impulsado por 3 motores,con opción a instalar a pie de alberca.,https://i.ibb.co/QXmRmzz/Super-Sally-3-4-IZQ.png,https://i.ibb.co/8dwmBZs/Super-Sally-Frontal.png,https://i.ibb.co/89SnwmK/Super-Sally-Lateral.png,https://i.ibb.co/8zVyVfJ/Super-Sally-Top.png,https://i.ibb.co/QXmRmzz/Super-Sally-3-4-IZQ.png,Guadalajara,Apto para 35 participantes,mayores de 5 años.,No,0,No,0,1011111024,101,111,1024,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Super SlideGuadalajara,out of stock,,Super Slide,-,https://i.ibb.co/zncLwwh/Super-Slide-miniatura.png,"$3,427","Niños, Adolescentes, Adultos",Acuático,Extra grande,11.4,6,6.9,0,impulsado por 2 motores,con opción a instalar a pie de alberca.,https://i.ibb.co/XVYjzrC/Super-Slide-Lateral.png,https://i.ibb.co/bRLxX8g/Super-Slide-Frontal.png,https://i.ibb.co/XVYjzrC/Super-Slide-Lateral.png,https://i.ibb.co/n8LXB3V/Super-Slide-Top.png,https://i.ibb.co/vH5pS4k/Super-Slide-3-4-IZQ.png,Guadalajara,Por seguridad es apto para un participante a la vez.,mayores de 5 años.,No,0,No,0,1011111025,101,111,1025,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Tigger SharkGuadalajara,out of stock,,Tigger Shark,-,https://i.imgur.com/jnAOfzK.png,"$2,128","Niños, Adolescentes",Acuático,Mediano,9,2.9,3.6,0,impulsado por 1 motor,con opción a instalar a pie de alberca.,https://i.imgur.com/2cKPV3W.png,https://i.imgur.com/mvlVsjS.png,https://i.imgur.com/JkyJEeB.png,https://i.imgur.com/JkyJEeB.png,https://i.imgur.com/mvlVsjS.png,Guadalajara,Apto para 20 participantes,mayores de 5 años.,No,0,No,0,1011111027,101,111,1027,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Troncos locosGuadalajara,out of stock,,Troncos locos,-,https://i.ibb.co/b65bgft/Troncos-locos-miniatura.png,"$3,278","Niños, Adolescentes, Adultos",Mecánicos,Grande,6,6,0,0,impulsado con 1 motor y 1 control de uso rudo,Controlado por un operador.,https://i.ibb.co/P5MDxDD/Troncos-locos-3-4-Der.png,https://i.ibb.co/93DhVy8/Troncos-locos-3-4-IZQ.png,https://i.ibb.co/n0k2HT2/Troncos-locos-Frontal.png,https://i.ibb.co/g30H11R/Troncos-locos-Top.png,https://i.ibb.co/P5MDxDD/Troncos-locos-3-4-Der.png,Guadalajara,Con capacidad de 6 participantes,mayores de 5 años.,No,0,No,0,1015551103,101,555,1103,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Bungee JumpLeon,in stock,1,Bungee Jump,La adrenalina hasta el cielo con total seguridad. Arnéses profesionales de uso para escalado para mayor seguridad.,https://i.imgur.com/ZoHubzt.png,"$4,390","Niños, Adolescentes, Adultos",Mecánicos,Grande,6,6,6,0,accionado con 1 motor,Controlado por un operador.,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,Leon,Con capacidad de 1 participante de 90kg,mayor de 4 años.,Si,1,Si,1,1035551002,103,555,1002,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Spinner NaranjaLeon,in stock,2,Spinner Naranja,-,https://i.imgur.com/fri8OiX.png,"$4,080","Niños, Adolescentes, Adultos",Mecánicos,Grande,0,0,1.2,8,impulsado por 2 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/L6xesTM.png,https://i.imgur.com/L6xesTM.png,https://i.imgur.com/L6xesTM.png,https://i.imgur.com/ydwQqqH.png,https://i.imgur.com/L6xesTM.png,Leon,Con capacidad de hasta 6 participantes,mayores de 5 años.,Si,1,Si,1,1035551004,103,555,1004,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Spinner VerdeLeon,in stock,3,Spinner Verde,-,https://i.imgur.com/cNY6BMH.png,"$4,080","Niños, Adolescentes, Adultos",Mecánicos,Grande,0,0,1.2,8,impulsado por 2 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/D8hdHxs.png,https://i.imgur.com/D8hdHxs.png,https://i.imgur.com/D8hdHxs.png,https://i.imgur.com/6hNaXeg.png,https://i.imgur.com/D8hdHxs.png,Leon,Con capacidad de 6 participantes,mayores de 5 años.,Si,1,Si,1,1035551005,103,555,1005,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Chile MecánicoLeon,in stock,4,Chile Mecánico,-,https://i.imgur.com/tRPicXL.png,"$3,720","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4.5,4.4,2.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,Leon,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,1,1035551003,103,555,1003,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Toro JaripeoLeon,in stock,5,Toro Jaripeo,El Toro de siempre... La diversión como nunca. El complemento ideal para tu fiesta donde se pueden subir chicos y grandes.,https://i.imgur.com/iXD1T8e.png,"$3,720","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4.5,4.4,2.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/d9XOCZG.png,https://i.imgur.com/GkShmjp.png,https://i.imgur.com/vHH0JH6.png,https://i.imgur.com/0EK8j4e.png,https://i.imgur.com/vHH0JH6.png,Leon,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,1,1035551001,103,555,1001,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Ninja RallyLeon,in stock,6,Ninja Rally,-,https://i.imgur.com/Am37OAn.png,"$4,080","Niños, Adolescentes, Adultos",Destreza,Grande,10,6,3.2,0,impulsado con 2 motores.,-,https://i.imgur.com/p4Pv7IM.png,https://i.imgur.com/3FL2fT4.png,https://i.imgur.com/BVFr5Or.png,https://i.imgur.com/BVFr5Or.png,https://i.imgur.com/3FL2fT4.png,Leon,Apto para 2 participantess a la vez,mayores de 7 años.,No,2,Si,1,1033331010,103,333,1010,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Big BollerLeon,in stock,7,Big Boller,¿Podrás cruzar las 4 esferas en un solo intento? Muchos lo han intentado y muy pocos lo han logrado.,https://i.imgur.com/8zuDDjL.png,"$3,720","Niños, Adolescentes, Adultos",Destreza,Grande,11,5,3,0,impulsado con 2 motores.,-,https://i.imgur.com/obZO2xe.png,https://i.imgur.com/hbEwu87.png,https://i.imgur.com/uB0RtxD.png,https://i.imgur.com/nUHCMPo.png,https://i.imgur.com/uB0RtxD.png,Leon,Por seguridad es apto para un participante de 90Kg.,mayor de 10 años,No,2,Si,1,1033331011,103,333,1011,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
InflagolLeon,in stock,8,Inflagol,-,https://i.imgur.com/KQ8lQiV.png,"$3,180","Niños, Adolescentes, Adultos",Destreza,Grande,10,5,2.2,0,impulsado con 2 motor.,-,https://i.imgur.com/DKWF0c9.png},https://i.imgur.com/Z3iL9r8.png,https://i.imgur.com/t0EVOfe.png,https://i.imgur.com/cjeAju6.png,https://i.imgur.com/65IfO6I.png,Leon,Apto para 12 participantes,mayores de 5 años.,No,2,Si,1,1033331006,103,333,1006,29/10/2020,Precio de renta por evento de 5 a 6 horas. No incluye balón.,FALSE
GladiadoresLeon,in stock,9,Gladiadores,-,https://i.imgur.com/wYiQjRB.png,"$2,840","Adolescentes, Adultos",Destreza,Grande,0,0,1.3,8,impulsado con 2 motores.,-,https://i.imgur.com/ZLzc56E.png,https://i.imgur.com/ZLzc56E.png,https://i.imgur.com/mMRx4PY.png,https://i.imgur.com/iGZkAQ0.png,https://i.imgur.com/mMRx4PY.png,Leon,Apto para 2 participantes,mayores de 10 años.,No,2,Si,1,1033331008,103,333,1008,29/10/2020,Precio de renta por evento de 5 a 6 horas. El juego incluye dos cotonetes gigantes.,FALSE
Human FutLeon,in stock,10,Human Fut,-,https://i.imgur.com/IqWOQBc.png,"$2,180","Niños, Adolescentes, Adultos",Destreza,Grande,14,6,1.9,0,impulsado con 1 motor.,-,https://i.imgur.com/t2ipzI9.png,https://i.imgur.com/t2ipzI9.png,https://i.imgur.com/t2ipzI9.png,https://i.imgur.com/t2ipzI9.png,https://i.imgur.com/t2ipzI9.png,Leon,Apto para 10 participantes,mayores de 8 años.,No,1,Si,1,1033331007,103,333,1007,29/10/2020,Precio de renta por evento de 5 a 6 horas. No incluye balón.,FALSE
Ring de BoxLeon,in stock,11,Ring de Box,-,https://i.imgur.com/epXRdwD.png,"$1,820","Niños, Adolescentes, Adultos",Destreza,Mediano,5.3,5,2.1,0,impulsado con 2 motor.,-,https://i.imgur.com/8jHbYTG.png,https://i.imgur.com/0u18nfO.png,https://i.imgur.com/0u18nfO.png,https://i.imgur.com/njh0qMk.png,https://i.imgur.com/0u18nfO.png,Leon,Apto para 2 participantes,mayores de 7 años.,No,1,Si,1,1033331009,103,333,1009,29/10/2020,Precio de renta por evento de 5 a 6 horas. Incluye 2 pares de guantes gigantes.,FALSE
HawaiiLeon,in stock,12,Hawaii,"Disponible a partir de Marzo | Más de 20m de diversión dividida en 3 módulos. El primero con opcipon de volverlo acuático o interactivo, y 2 módulos llenos de diversión.",https://i.imgur.com/LUacj4G.png,"$5,980","Niños, Adolescentes, Adultos",Acuático,Extra grande,23,4,6,0,impulsado por 4 motores.,-,https://i.imgur.com/PdiKnkV.png,https://i.imgur.com/1cCu0ta.png,https://i.imgur.com/1OHL2SI.png,https://i.imgur.com/jtyV7Ps.png,https://i.imgur.com/6Plg7w1.png,Leon,Apto para 40 participantes,mayores de 5 años.,No,4,Si,1,1031111035,103,111,1035,20/1/2026,Precio de renta por evento de 5 a 6 horas.,TRUE
Foam PartyLeon,in stock,13,Foam Party,| Disponible a partir de Julio | Haz que la diversión suba como la espuma jugando en nuestro Nuevo Foam Party. Diversión que desborda.,https://i.imgur.com/qe6qnQE.png,"$2,640","Niños, Adolescentes, Adultos",Acuático,Grande,4,4,2,0,"impulsado con 1 motor soplador, más 2 conexiones de luz",Controlados por un operador. Requiere toma de agua cercana e instalación un día antes.,https://i.imgur.com/nYqJP2a.png,https://i.imgur.com/nYqJP2a.png,https://i.imgur.com/nYqJP2a.png,https://i.imgur.com/cnHtkz1.png,https://i.imgur.com/nYqJP2a.png,Leon,Con capacidad de 20 participantes,mayores de 6 años.,Si,1,Si,1,1031111031,103,111,1031,29/10/2020,Precio por una hora de servicio con carga de espuma cada media hora. Operación entre 9am y 9pm.,TRUE
Super EskualoLeon,in stock,14,Super Eskualo,El cazador indomable de los mares se vuelve un espacio de juego gigantesco para que tu fiesta sea única y extra divertida.,https://i.imgur.com/JTjjm3x.png,"$4,980","Niños, Adolescentes, Adultos",Acuático,Grande,14,4,7.8,0,impulsado por 3 motores,con opción a instalar a pie de alberca.,https://i.imgur.com/f7tXccb.png,https://i.imgur.com/SylNyy5.png,https://i.imgur.com/m1kAAGe.png,https://i.imgur.com/ANyaz65.png,https://i.imgur.com/yVnJQj9.png,Leon,Apto para 25 participantes,mayores de 7 años.,No,3,Si,1,1031111012,103,111,1012,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
PredatorLeon,in stock,15,Predator,Gran altura. Gran tamaño. Gran diversión. Uno de nuestros acuáticos más altos para sentir toda la adrenalina al deslizarte.,https://i.imgur.com/zMj3l51.png,"$3,280","Niños, Adolescentes, Adultos",Acuático,Grande,12.2,3.2,5.4,0,impulsado por 2 motores,con opción a instalar a pie de alberca.,https://i.imgur.com/AU0t8AT.png,https://i.imgur.com/I4Yo9yW.png,https://i.imgur.com/I4Yo9yW.png,https://i.imgur.com/6PhHyOS.png,https://i.imgur.com/zvJZdQb.png,Leon,Apto para 25 participantes,mayores de 5 años.,No,2,Si,1,1031111015,103,111,1015,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
